"SECCODE";"START_TIME";"FIRST";"HIGH";"LOW";"LAST";"VOLUME"
"LKOH";"29.05.1997 00:00:00";"86.215";"86.7";"84.92";"86.215";"30900"
"LKOH";"30.05.1997 00:00:00";"86.35";"86.495";"86.3";"86.35";"4200"
"LKOH";"02.06.1997 00:00:00";"86.11";"86.49";"86.11";"86.11";"10100"
"LKOH";"03.06.1997 00:00:00";"86.4";"86.599";"86.4";"86.4";"400"
"LKOH";"04.06.1997 00:00:00";"88.35";"88.499";"87.95";"88.35";"8600"
"LKOH";"05.06.1997 00:00:00";"89.35";"89.4";"88.2";"89.35";"14900"
"LKOH";"06.06.1997 00:00:00";"89.15";"89.2";"89.065";"89.15";"4100"
"LKOH";"09.06.1997 00:00:00";"91.35";"91.599";"90";"91.35";"8900"
"LKOH";"10.06.1997 00:00:00";"90.7";"91.199";"90.6";"90.7";"15000"
"LKOH";"11.06.1997 00:00:00";"89.8";"90.599";"89.8";"89.8";"2700"
"LKOH";"13.06.1997 00:00:00";"91.05";"91.1";"91.05";"91.05";"500"
"LKOH";"16.06.1997 00:00:00";"92.8";"93.5";"92.1";"92.8";"9000"
"LKOH";"17.06.1997 00:00:00";"93.4";"93.8";"93.3";"93.4";"1600"
"LKOH";"18.06.1997 00:00:00";"95.45";"95.8";"94";"95.45";"13500"
"LKOH";"19.06.1997 00:00:00";"99.6";"103";"97";"99.6";"24300"
"LKOH";"20.06.1997 00:00:00";"99.99";"100.18";"99.2";"99.99";"9400"
"LKOH";"23.06.1997 00:00:00";"101.85";"102.65";"100.85";"101.85";"9200"
"LKOH";"24.06.1997 00:00:00";"107.7";"108.5";"103.2";"107.7";"47400"
"LKOH";"25.06.1997 00:00:00";"121.55";"123.5";"116";"121.55";"29400"
"LKOH";"26.06.1997 00:00:00";"113.35";"117.5";"112";"113.35";"53300"
"LKOH";"27.06.1997 00:00:00";"115.7";"117.5";"114.5";"115.7";"27600"
"LKOH";"30.06.1997 00:00:00";"113.585";"113.9";"113.1";"113.585";"32900"
"LKOH";"01.07.1997 00:00:00";"113.8";"114.8";"113.8";"114.4";"19800"
"LKOH";"02.07.1997 00:00:00";"122.5";"122.5";"119";"121.5";"11000"
"LKOH";"03.07.1997 00:00:00";"127.5";"128.4";"123.5";"125.15";"14300"
"LKOH";"04.07.1997 00:00:00";"132.986";"135";"132.61";"133.015";"19200"
"LKOH";"07.07.1997 00:00:00";"134.005";"137";"133.9";"136.55";"15600"
"LKOH";"08.07.1997 00:00:00";"131.5";"131.65";"127.95";"131.65";"18000"
"LKOH";"09.07.1997 00:00:00";"134.9";"137.928";"134";"136";"12400"
"LKOH";"10.07.1997 00:00:00";"133";"135.86";"133";"135";"38000"
"LKOH";"11.07.1997 00:00:00";"134.95";"135";"133.5";"134.239";"23500"
"LKOH";"14.07.1997 00:00:00";"133.45";"133.45";"125";"127.7";"20300"
"LKOH";"15.07.1997 00:00:00";"126.001";"127.8";"126.001";"126.2";"17700"
"LKOH";"16.07.1997 00:00:00";"120.8";"122.15";"118.01";"120.6";"29200"
"LKOH";"17.07.1997 00:00:00";"122";"122";"119.4";"121.2";"29500"
"LKOH";"18.07.1997 00:00:00";"123";"125.8";"122.7";"124.4";"7300"
"LKOH";"21.07.1997 00:00:00";"122.2";"123.5";"121";"121.95";"25100"
"LKOH";"22.07.1997 00:00:00";"121.4";"121.5";"121";"121.35";"2600"
"LKOH";"23.07.1997 00:00:00";"126.3";"128.9";"125.9";"127";"31300"
"LKOH";"24.07.1997 00:00:00";"128";"128.4";"127.5";"128.2";"14500"
"LKOH";"25.07.1997 00:00:00";"130.94";"131.9";"128.55";"131.39";"18800"
"LKOH";"28.07.1997 00:00:00";"133.6";"133.6";"130.6";"131.2";"9400"
"LKOH";"29.07.1997 00:00:00";"132.05";"135.7";"131";"131.345";"59600"
"LKOH";"30.07.1997 00:00:00";"130.5";"132.046";"129.52";"130.45";"21700"
"LKOH";"31.07.1997 00:00:00";"129.5";"134";"129.5";"132";"49300"
"LKOH";"01.08.1997 00:00:00";"132";"133.85";"132";"132.999";"23100"
"LKOH";"04.08.1997 00:00:00";"132.5";"135.55";"132.1";"134.8";"13700"
"LKOH";"05.08.1997 00:00:00";"135";"139";"134.01";"139";"55600"
"LKOH";"06.08.1997 00:00:00";"138.6";"144.5";"138.6";"144.28";"56400"
"LKOH";"07.08.1997 00:00:00";"146.95";"160.799";"146.95";"158.2";"86900"
"LKOH";"08.08.1997 00:00:00";"160.3";"162";"156.51";"158.3";"64300"
"LKOH";"11.08.1997 00:00:00";"156.699";"158.395";"154.5";"158.1";"25700"
"LKOH";"12.08.1997 00:00:00";"158.3";"161";"157.5";"159.151";"29200"
