"SECCODE";"START_TIME";"FIRST";"HIGH";"LOW";"LAST";"VOLUME"
"VTBR";"28.05.2007 00:00:00";"724.5";"874.5";"700";"708";"844488.4"
"VTBR";"29.05.2007 00:00:00";"710";"724.5";"689";"697.5";"975321.6"
"VTBR";"30.05.2007 00:00:00";"688.5";"695";"677.5";"692.5";"940192.6"
"VTBR";"31.05.2007 00:00:00";"699.5";"725";"698";"724";"822193.6"
"VTBR";"01.06.2007 00:00:00";"725";"732.5";"719";"726";"684105.4"
"VTBR";"04.06.2007 00:00:00";"725";"725";"704.5";"714.5";"467845.2"
"VTBR";"05.06.2007 00:00:00";"715";"722.5";"709.5";"714";"375404"
"VTBR";"06.06.2007 00:00:00";"714";"717.5";"699";"710";"418662.8"
"VTBR";"07.06.2007 00:00:00";"707.5";"711";"704";"705";"208168.2"
"VTBR";"08.06.2007 00:00:00";"701";"718";"700";"714.5";"673314.8"
"VTBR";"09.06.2007 00:00:00";"714.5";"719.5";"712";"713";"149150.2"
"VTBR";"13.06.2007 00:00:00";"713";"716.5";"707.5";"716";"137989.4"
"VTBR";"14.06.2007 00:00:00";"719";"734";"716.5";"733";"723757"
"VTBR";"15.06.2007 00:00:00";"735";"737.5";"720";"722.5";"990640.6"
"VTBR";"18.06.2007 00:00:00";"744";"744";"718.5";"723";"260703"
"VTBR";"19.06.2007 00:00:00";"720.5";"723";"717";"718";"239999.4"
"VTBR";"20.06.2007 00:00:00";"722";"729.5";"718";"726";"410691.4"
"VTBR";"21.06.2007 00:00:00";"725";"725";"717.5";"719";"225437"
"VTBR";"22.06.2007 00:00:00";"722.5";"722.5";"713";"715.5";"269007.2"
"VTBR";"25.06.2007 00:00:00";"714";"714";"706";"710";"236125.4"
"VTBR";"26.06.2007 00:00:00";"710";"715";"706";"710.5";"270889.2"
"VTBR";"27.06.2007 00:00:00";"709.5";"711";"700.5";"704.5";"459309.2"
"VTBR";"28.06.2007 00:00:00";"709";"710";"703.5";"706.5";"222544"
"VTBR";"29.06.2007 00:00:00";"706";"708.5";"699.5";"704.5";"241852.6"
"VTBR";"02.07.2007 00:00:00";"709";"709";"698.5";"700";"409341.4"
"VTBR";"03.07.2007 00:00:00";"700";"704.5";"696";"702";"1216228.4"
"VTBR";"04.07.2007 00:00:00";"701";"702.5";"695.5";"699";"1122860"
"VTBR";"05.07.2007 00:00:00";"700";"701.5";"697";"700.5";"311153"
"VTBR";"06.07.2007 00:00:00";"697";"705.5";"697";"701";"487948"
"VTBR";"09.07.2007 00:00:00";"702";"707";"699.5";"706";"423783.2"
"VTBR";"10.07.2007 00:00:00";"705";"705";"697";"700";"648208"
"VTBR";"11.07.2007 00:00:00";"697";"701";"695.5";"698";"535443.6"
"VTBR";"12.07.2007 00:00:00";"698";"705";"698";"705";"645365.8"
"VTBR";"13.07.2007 00:00:00";"706.5";"708.5";"700";"703.5";"551841.6"
"VTBR";"16.07.2007 00:00:00";"702.5";"702.5";"697";"702";"384283.8"
"VTBR";"17.07.2007 00:00:00";"700";"700.5";"693";"699";"315411.4"
"VTBR";"18.07.2007 00:00:00";"697.5";"697.5";"691";"693";"650279.8"
"VTBR";"19.07.2007 00:00:00";"693";"700";"692.5";"700";"993375.6"
"VTBR";"20.07.2007 00:00:00";"700";"703";"694";"698";"410194.4"
"VTBR";"23.07.2007 00:00:00";"696";"703";"695";"701.5";"517918.4"
"VTBR";"24.07.2007 00:00:00";"700";"703";"695";"703";"649011.8"
"VTBR";"25.07.2007 00:00:00";"699.5";"703";"694.5";"702";"319220.8"
"VTBR";"26.07.2007 00:00:00";"702";"702.5";"686.5";"687.5";"665735"
"VTBR";"27.07.2007 00:00:00";"682.5";"687.5";"680";"682";"454678.4"
"VTBR";"30.07.2007 00:00:00";"681";"687";"674";"676";"1003415"
"VTBR";"31.07.2007 00:00:00";"680";"685";"678.5";"683.5";"436156.4"
"VTBR";"01.08.2007 00:00:00";"679.5";"681";"669";"680.5";"1186400.6"
"VTBR";"02.08.2007 00:00:00";"681";"683";"677.5";"680";"842677.8"
"VTBR";"03.08.2007 00:00:00";"680";"687.5";"678.5";"684.5";"511014.2"
"VTBR";"06.08.2007 00:00:00";"680";"680.5";"672";"677.5";"1339868.2"
"VTBR";"07.08.2007 00:00:00";"680";"680";"665.5";"667";"1101698.2"
"VTBR";"08.08.2007 00:00:00";"672";"673";"665.5";"670.5";"1543532.4"
"VTBR";"09.08.2007 00:00:00";"674.5";"674.5";"656";"662.5";"1405134.4"
"VTBR";"10.08.2007 00:00:00";"655";"657";"633";"638.5";"1006938.2"
"VTBR";"13.08.2007 00:00:00";"645";"645";"636";"640.5";"741410.4"
"VTBR";"14.08.2007 00:00:00";"639";"639.5";"629";"630";"425023.6"
"VTBR";"15.08.2007 00:00:00";"621";"624";"612.5";"613";"727399.6"
"VTBR";"16.08.2007 00:00:00";"601";"607.5";"576.5";"592";"2092114.8"
"VTBR";"17.08.2007 00:00:00";"586";"596.5";"562.5";"590";"2678159.8"
"VTBR";"20.08.2007 00:00:00";"592.5";"599";"570";"581";"2117057"
"VTBR";"21.08.2007 00:00:00";"582.5";"582.5";"562.5";"577.5";"1623842.4"
"VTBR";"22.08.2007 00:00:00";"575";"602";"569";"597.5";"2984695.8"
"VTBR";"23.08.2007 00:00:00";"605.5";"616.5";"593";"605";"3802024.2"
"VTBR";"24.08.2007 00:00:00";"597.5";"604.5";"591";"598.5";"1767343"
"VTBR";"27.08.2007 00:00:00";"605";"609.5";"600.5";"602";"1016506"
"VTBR";"28.08.2007 00:00:00";"600.5";"602.5";"590.5";"594";"731906.8"
"VTBR";"29.08.2007 00:00:00";"585";"602.5";"579";"595";"1535511.6"
"VTBR";"30.08.2007 00:00:00";"602.5";"602.5";"593.5";"594";"1073942"
"VTBR";"31.08.2007 00:00:00";"602.5";"603.5";"594.5";"600";"1266199"
"VTBR";"03.09.2007 00:00:00";"600";"601.5";"592";"593";"807159.8"
"VTBR";"04.09.2007 00:00:00";"590";"597";"588.5";"592.5";"848227.8"
"VTBR";"05.09.2007 00:00:00";"595.5";"595.5";"587";"589";"601957.4"
"VTBR";"06.09.2007 00:00:00";"588.5";"594.5";"586.5";"593.5";"410164.8"
"VTBR";"07.09.2007 00:00:00";"595";"595";"568.5";"569.5";"1488322.2"
"VTBR";"10.09.2007 00:00:00";"567.5";"574";"556.5";"559";"2356899.2"
"VTBR";"11.09.2007 00:00:00";"561.5";"562.5";"550.5";"555.5";"1842684.2"
"VTBR";"12.09.2007 00:00:00";"559.5";"559.5";"539.5";"543.5";"2172962"
"VTBR";"13.09.2007 00:00:00";"544";"552";"540";"550.5";"2224853"
"VTBR";"14.09.2007 00:00:00";"552.5";"554.5";"535.5";"538";"2541424.4"
"VTBR";"17.09.2007 00:00:00";"538";"541";"522";"523";"2119373.8"
"VTBR";"18.09.2007 00:00:00";"521";"549";"518.5";"536";"3937000.4"
"VTBR";"19.09.2007 00:00:00";"550";"568.5";"548";"568";"5402226.4"
"VTBR";"20.09.2007 00:00:00";"567.5";"597.5";"555";"588";"5921534"
"VTBR";"21.09.2007 00:00:00";"585";"611";"582.5";"606.5";"7947710.6"
"VTBR";"24.09.2007 00:00:00";"612";"630.5";"608.5";"620";"7400920.2"
"VTBR";"25.09.2007 00:00:00";"618";"627.5";"593.5";"595.5";"6061613.2"
"VTBR";"26.09.2007 00:00:00";"604";"615";"601.5";"613";"4683371"
"VTBR";"27.09.2007 00:00:00";"617.5";"621";"585.5";"595";"8254084.2"
"VTBR";"28.09.2007 00:00:00";"588.5";"592.5";"572.5";"574.5";"6529809.2"
"VTBR";"01.10.2007 00:00:00";"571";"571";"552";"561.5";"4033349.4"
"VTBR";"02.10.2007 00:00:00";"572.5";"582";"571.5";"575.5";"4851128.8"
"VTBR";"03.10.2007 00:00:00";"575.5";"581.5";"566.5";"569.5";"3828995.8"
"VTBR";"04.10.2007 00:00:00";"566.5";"573";"565";"567";"1579759.2"
"VTBR";"05.10.2007 00:00:00";"572.5";"585";"571";"584";"4881861.8"
"VTBR";"08.10.2007 00:00:00";"587.5";"594";"580";"590";"2833475.6"
"VTBR";"09.10.2007 00:00:00";"590";"603.5";"584";"601.5";"3370994.4"
"VTBR";"10.10.2007 00:00:00";"605";"606";"588.5";"589";"3626000.8"
"VTBR";"11.10.2007 00:00:00";"592.5";"598";"589.5";"595.5";"2523417.8"
"VTBR";"12.10.2007 00:00:00";"589";"593";"580";"590";"3103067.4"
"VTBR";"15.10.2007 00:00:00";"592.5";"605";"588.5";"591.5";"3307771"
"VTBR";"16.10.2007 00:00:00";"586.5";"589.5";"575";"577.5";"6401617.6"
"VTBR";"17.10.2007 00:00:00";"575";"582";"570";"579";"4329734.8"
"VTBR";"18.10.2007 00:00:00";"580";"581";"572";"578.5";"2959701.8"
"VTBR";"19.10.2007 00:00:00";"577";"587";"576.5";"580.5";"2874682.6"
"VTBR";"22.10.2007 00:00:00";"572.5";"579";"568.5";"577.5";"1564814.8"
"VTBR";"23.10.2007 00:00:00";"584";"585.5";"582";"584";"1354455.8"
"VTBR";"24.10.2007 00:00:00";"583.5";"592";"577.5";"585";"2942849"
"VTBR";"25.10.2007 00:00:00";"588.5";"590.5";"584";"585.5";"1589255"
"VTBR";"26.10.2007 00:00:00";"588.5";"593.5";"585";"591";"2921745.6"
"VTBR";"29.10.2007 00:00:00";"595";"601";"592";"595.5";"2503655.2"
"VTBR";"30.10.2007 00:00:00";"595.5";"595.5";"586";"589.5";"1658573.4"
"VTBR";"31.10.2007 00:00:00";"587.5";"597";"587.5";"596.5";"2095028.4"
"VTBR";"01.11.2007 00:00:00";"600";"601.5";"586";"591.5";"2606905.8"
"VTBR";"02.11.2007 00:00:00";"585";"597.5";"582.5";"596";"2046315"
"VTBR";"06.11.2007 00:00:00";"593";"612";"592";"606.5";"3529711"
"VTBR";"07.11.2007 00:00:00";"608";"610.5";"595.5";"601";"2791738.8"
"VTBR";"08.11.2007 00:00:00";"592.5";"601";"592.5";"598.5";"1652740"
"VTBR";"09.11.2007 00:00:00";"600";"600.5";"583.5";"585";"2209745"
"VTBR";"12.11.2007 00:00:00";"582.5";"591.5";"577";"582";"2306393.4"
"VTBR";"13.11.2007 00:00:00";"582";"584";"574.5";"578";"2523378.2"
"VTBR";"14.11.2007 00:00:00";"584";"586.5";"572.5";"576";"2679352"
"VTBR";"15.11.2007 00:00:00";"575";"576.5";"567";"569.5";"2903408"
"VTBR";"16.11.2007 00:00:00";"567.5";"570";"563";"564";"1688320.4"
"VTBR";"19.11.2007 00:00:00";"567.5";"567.5";"557";"561.5";"1860709.8"
"VTBR";"20.11.2007 00:00:00";"562.5";"566";"550";"552.5";"2738427.2"
"VTBR";"21.11.2007 00:00:00";"552";"552";"530.5";"535.5";"3940956"
"VTBR";"22.11.2007 00:00:00";"537.5";"544.5";"526";"535";"2569002"
"VTBR";"23.11.2007 00:00:00";"537.5";"548";"532.5";"543.5";"2484884.6"
"VTBR";"26.11.2007 00:00:00";"550";"552";"538.5";"543.5";"2440547.8"
"VTBR";"27.11.2007 00:00:00";"539.5";"544";"534";"538";"1866530.2"
"VTBR";"28.11.2007 00:00:00";"540";"544";"534";"541";"1533195.6"
"VTBR";"29.11.2007 00:00:00";"546.5";"553.5";"544.5";"546.5";"2214195.8"
"VTBR";"30.11.2007 00:00:00";"550";"564";"547";"562.5";"3749739"
"VTBR";"03.12.2007 00:00:00";"562.5";"565.5";"557.5";"559.5";"1638245.8"
"VTBR";"04.12.2007 00:00:00";"558.5";"562";"551.5";"551.5";"1837303.2"
"VTBR";"05.12.2007 00:00:00";"553";"577";"553";"574.5";"4809994.2"
"VTBR";"06.12.2007 00:00:00";"575.5";"582.5";"568.5";"571.5";"4809221.2"
"VTBR";"07.12.2007 00:00:00";"576.5";"590";"572.5";"590";"5485742.2"
"VTBR";"10.12.2007 00:00:00";"590";"611.5";"586";"609";"8587576.6"
"VTBR";"11.12.2007 00:00:00";"614";"624";"604";"612";"8487501"
"VTBR";"12.12.2007 00:00:00";"602";"624";"601.5";"623";"7861152.4"
"VTBR";"13.12.2007 00:00:00";"619.5";"620";"606";"609.5";"5403540.6"
"VTBR";"14.12.2007 00:00:00";"611.5";"613.5";"597.5";"607.5";"3635915"
"VTBR";"17.12.2007 00:00:00";"605";"616.5";"598";"612.5";"5915150.8"
"VTBR";"18.12.2007 00:00:00";"612.5";"640";"611.5";"637.5";"9733006.8"
"VTBR";"19.12.2007 00:00:00";"640.5";"641.5";"623";"631.5";"7285265.2"
"VTBR";"20.12.2007 00:00:00";"632.5";"642.5";"629";"639.5";"5987927.4"
"VTBR";"21.12.2007 00:00:00";"641.5";"645";"636.5";"642.5";"5881655.8"
"VTBR";"24.12.2007 00:00:00";"645.5";"654.5";"644";"654";"6220933.2"
"VTBR";"25.12.2007 00:00:00";"656";"663";"646";"647.5";"6458436.8"
"VTBR";"26.12.2007 00:00:00";"647";"650";"626.5";"628.5";"6412226"
"VTBR";"27.12.2007 00:00:00";"630";"637";"622.5";"633";"6941118.4"
"VTBR";"28.12.2007 00:00:00";"626.5";"650";"610.5";"629.5";"8680273"
"VTBR";"09.01.2008 00:00:00";"617.5";"626";"599.5";"608.5";"5551209.4"
"VTBR";"10.01.2008 00:00:00";"610";"615.5";"605";"609";"4337712.6"
"VTBR";"11.01.2008 00:00:00";"610.5";"611.5";"605";"609";"2102416.6"
"VTBR";"14.01.2008 00:00:00";"607";"610";"603.5";"605";"2455904"
"VTBR";"15.01.2008 00:00:00";"606";"607.5";"590.5";"595.5";"5031661.8"
"VTBR";"16.01.2008 00:00:00";"585";"587";"562";"573";"6489735"
"VTBR";"17.01.2008 00:00:00";"574";"577.5";"561";"569";"4282149.6"
"VTBR";"18.01.2008 00:00:00";"569.5";"570";"555";"560.5";"3451723.4"
"VTBR";"21.01.2008 00:00:00";"551";"553.5";"520.5";"523.5";"5619061.6"
