"START_TIME";"FIRST";"HIGH";"LOW";"LAST";"VOLUME"
"23.01.2006 00:00:00";"239.5";"239.5";"218.49";"218.85";"5120765"
"24.01.2006 00:00:00";"221";"224.68";"219.66";"223.8";"8983192"
"25.01.2006 00:00:00";"225.5";"231";"225";"228.46";"15474769"
"26.01.2006 00:00:00";"228.2";"229.41";"223.51";"225.01";"7588759"
"27.01.2006 00:00:00";"225.75";"231.5";"224";"228.25";"12729718"
"30.01.2006 00:00:00";"231.04";"231.07";"215";"216.92";"17251930"
"31.01.2006 00:00:00";"218";"224.23";"215.71";"218.14";"11737232"
"01.02.2006 00:00:00";"219.5";"223.99";"215";"223.99";"8564735"
"02.02.2006 00:00:00";"223.95";"224.5";"220";"220.66";"5446544"
"03.02.2006 00:00:00";"218.8";"221.3";"217.01";"220.7";"5387994"
"06.02.2006 00:00:00";"221.63";"222.45";"219.16";"220.12";"6375694"
"07.02.2006 00:00:00";"220";"220.7";"218.2";"220.22";"8270432"
"08.02.2006 00:00:00";"218.26";"221.59";"215.5";"221";"9434350"
"09.02.2006 00:00:00";"221.49";"224.8";"220.5";"222.02";"9777969"
"10.02.2006 00:00:00";"222.25";"223.6";"221.51";"222";"5918603"
"13.02.2006 00:00:00";"221.98";"222";"218.57";"219.95";"7879015"
"14.02.2006 00:00:00";"219.84";"220.85";"218.6";"219.95";"3791527"
"15.02.2006 00:00:00";"217.93";"220";"217.93";"219.55";"3549036"
"16.02.2006 00:00:00";"219.96";"220.47";"218.93";"220";"4514626"
"17.02.2006 00:00:00";"220.5";"227.33";"220.5";"226.36";"19229246"
"20.02.2006 00:00:00";"227.57";"229.99";"227.37";"228.2";"8382896"
"21.02.2006 00:00:00";"230";"230.16";"224.55";"225.14";"10824604"
"22.02.2006 00:00:00";"225.1";"226.5";"224.11";"225.22";"5997475"
"26.02.2006 00:00:00";"225.49";"229.6";"225.38";"227.52";"8903738"
"27.02.2006 00:00:00";"227.78";"228.2";"225.05";"225.21";"9312360"
"28.02.2006 00:00:00";"225.21";"225.3";"217.01";"218.26";"11439450"
"01.03.2006 00:00:00";"219";"220.5";"214.6";"217.16";"11094561"
"02.03.2006 00:00:00";"218.87";"220.86";"217.5";"218.55";"7795473"
"03.03.2006 00:00:00";"220";"228.9";"220";"227.91";"28820558"
"06.03.2006 00:00:00";"230.05";"239.37";"230.05";"231.85";"25733617"
"07.03.2006 00:00:00";"230.5";"230.5";"221.97";"223.16";"18790992"
"09.03.2006 00:00:00";"219.01";"221.8";"215.11";"218.87";"16448058"
"10.03.2006 00:00:00";"219.8";"221.88";"216.3";"217.54";"12525170"
